BN Part Number,OEM #,LBS.,,,Pt,Pd,Rh,Pt 100,Pd 100,Rh 100,Pt 97 , Pd 96.5 ,Rh 88,Refining , Treatment Charges,Interest Charges,Gross ,Net,,,,Per Lbs $
518,H01,3.3957,0.99,3.43,2457,17,552,0.12,0.00,0.03,0.12,0.00,0.02,0.29,2.72,#VALUE!,480.68,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,H02,3.465,0.99,3.50,2444,11,492,0.12,0.00,0.02,0.12,0.00,0.02,0.28,2.77,#VALUE!,449.17,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S90,3.3561,0.99,3.39,1220,10,218,0.06,0.00,0.01,0.06,0.00,0.01,0.14,2.68,#VALUE!,199.82,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S91,3.6135,0.99,3.65,2081,8,403,0.11,0.00,0.02,0.11,0.00,0.02,0.25,2.89,#VALUE!,387.61,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S92,3.6531,0.99,3.69,2347,13,550,0.13,0.00,0.03,0.12,0.00,0.03,0.30,2.92,#VALUE!,509.56,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S93,3.6135,0.99,3.65,2287,13,572,0.12,0.00,0.03,0.12,0.00,0.03,0.29,2.89,#VALUE!,516.27,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S94,3.366,0.99,3.4,1816,14,484,0.09,0.00,0.02,0.09,0.00,0.02,0.22,2.69,#VALUE!,401.57,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S95,3.465,0.99,3.50,2177,13,461,0.11,0.00,0.02,0.11,0.00,0.02,0.26,2.77,#VALUE!,415.62,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S96,3.5145,0.99,3.55,2242,13,441,0.11,0.00,0.02,0.11,0.00,0.02,0.26,2.81,#VALUE!,411.26,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S97,3.4551,0.99,3.49,2478,41,550,0.12,0.00,0.03,0.12,0.00,0.02,0.29,2.76,#VALUE!,491.41,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S98,3.6234,0.99,3.66,2341,13,512,0.12,0.00,0.03,0.12,0.00,0.02,0.29,2.90,#VALUE!,478.60,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
518,S99,3.5541,0.99,3.59,2036,12,454,0.11,0.00,0.02,0.10,0.00,0.02,0.25,2.84,#VALUE!,414.32,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
TOYOTA KNOTTS,GD3,1.0098,0.99,1.02,12,18780,1851,0.00,0.28,0.03,0.00,0.27,0.02,0.58,0.81,#VALUE!,960.46,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
